antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"food, great",place,0.138,0.369,0.071,0.5144927536231884,1.3942893052118925,1.0,0.02007799999999999,1.2996716417910446,0.3280611744714224,0.1628440366972477,0.23057488688302435,0.35345233887121474
"good, great",food,0.123,0.359,0.062,0.5040650406504065,1.4040808931766198,1.0,0.017843000000000005,1.2925081967213115,0.3281531614374518,0.14761904761904762,0.2263105158352675,0.3383834952555653
"food, good, great",place,0.062,0.369,0.033,0.5322580645161291,1.4424337791765016,1.0,0.010122000000000003,1.349034482758621,0.3270013568521032,0.0829145728643216,0.25872910382904774,0.3108444794125361
"good, great, place",food,0.059,0.359,0.033,0.5593220338983051,1.5580000944242485,1.0,0.011819000000000003,1.4545769230769232,0.3806073487263711,0.08571428571428572,0.3125148734762951,0.3256220197346679
"friendly, like",good,0.039,0.358,0.021,0.5384615384615385,1.5040825096691022,1.0,0.007038000000000003,1.3910000000000002,0.3487438679946485,0.055851063829787245,0.28109273903666443,0.29856037816931674
"friendly, time",get,0.038,0.219,0.021,0.5526315789473685,2.523431867339582,1.0,0.012678000000000002,1.745764705882353,0.6275616275616276,0.08898305084745763,0.4271851202911248,0.3242609949531363
"place, staff",friendly,0.062,0.162,0.031,0.5,3.0864197530864197,1.0,0.020956,1.676,0.720682302771855,0.16062176165803108,0.4033412887828162,0.345679012345679
"friendly, place",staff,0.059,0.163,0.031,0.5254237288135594,3.2234584589788917,1.0,0.021383,1.7636785714285714,0.7330225223681052,0.16230366492146597,0.4330032602312537,0.357803888946657
"friendly, really",food,0.036,0.359,0.02,0.5555555555555556,1.5475085112968123,1.0,0.007076000000000002,1.44225,0.3670124481327802,0.053333333333333344,0.30663893222395566,0.30563293098112043
"friendly, service",food,0.05,0.359,0.029,0.58,1.615598885793872,1.0,0.01105,1.526190476190476,0.4010889292196007,0.07631578947368423,0.344773790951638,0.3303899721448468
"get, staff",friendly,0.041,0.162,0.022,0.5365853658536585,3.3122553447756693,1.0,0.015357999999999998,1.8083157894736839,0.7279362972793629,0.12154696132596683,0.44699924326212226,0.3361939174947305
"friendly, get",staff,0.043,0.163,0.022,0.5116279069767442,3.1388215151947496,1.0,0.014990999999999999,1.713857142857143,0.7120262182958108,0.11956521739130432,0.4165207968658831,0.3232986160650592
"friendly, good",food,0.061,0.359,0.032,0.5245901639344263,1.4612539385360064,1.0,0.010101000000000002,1.3483103448275864,0.3361621405750799,0.08247422680412371,0.2583309889772641,0.3068633270925613
"good, staff",friendly,0.053,0.162,0.03,0.5660377358490566,3.4940600978336827,1.0,0.021414,1.9310434782608694,0.7537486800422387,0.16216216216216217,0.48214526950961406,0.3756114605171209
"friendly, one",good,0.039,0.358,0.02,0.5128205128205129,1.4324595330181924,1.0,0.006038000000000002,1.3177894736842108,0.3141519250780438,0.053050397877984094,0.2411534467609235,0.2843432173041112
"friendly, would",food,0.038,0.359,0.021,0.5526315789473685,1.5393637296584082,1.0,0.007358000000000002,1.4328235294117648,0.3642213642213643,0.055851063829787245,0.3020773462517449,0.305563700337194
"place, recommend",would,0.039,0.207,0.023,0.5897435897435898,2.8490028490028494,1.0,0.014927,1.9329375000000002,0.6753381893860563,0.10313901345291479,0.4826526982895205,0.35042735042735046
highly,recommend,0.046,0.097,0.036,0.7826086956521738,8.0681308830121,1.0,0.031538,4.153799999999999,0.9182972280456558,0.33644859813084105,0.7592565843324184,0.5768713581353653
owner,place,0.04,0.369,0.022,0.5499999999999999,1.4905149051490514,1.0,0.007239999999999998,1.402222222222222,0.3428030303030303,0.056847545219638244,0.28684627575277327,0.304810298102981
10,get,0.038,0.219,0.02,0.5263157894736842,2.403268445085316,1.0,0.011678000000000001,1.6487777777777777,0.606964656964657,0.08438818565400844,0.39349012736707323,0.3088199951934631
like,place,0.209,0.369,0.109,0.521531100478469,1.4133634159308102,1.0,0.031879000000000005,1.3187900000000001,0.3697444878739025,0.232409381663113,0.24172916082166238,0.40846202720400415
like,good,0.209,0.358,0.11,0.5263157894736842,1.4701558365186709,1.0,0.035178,1.3553333333333333,0.40429835651074586,0.24070021881838077,0.26217412690605013,0.4167891796530432
"like, place",good,0.109,0.358,0.059,0.5412844036697247,1.511967608015991,1.0,0.019977999999999996,1.39956,0.3800338602598489,0.14460784313725492,0.2854897253422504,0.3530444364717339
"good, like",place,0.11,0.369,0.059,0.5363636363636364,1.453559990145356,1.0,0.018409999999999996,1.3609803921568628,0.35059988573605017,0.14047619047619048,0.26523555683619077,0.34812761763981276
"food, like",place,0.088,0.369,0.05,0.5681818181818182,1.539788125153979,1.0,0.017528000000000002,1.461263157894737,0.3843859649122807,0.12285012285012287,0.3156605676415503,0.35184158659768416
"food, like",good,0.088,0.358,0.055,0.625,1.7458100558659218,1.0,0.023496000000000003,1.712,0.46842105263157896,0.14066496163682865,0.4158878504672897,0.3893156424581006
"good, like",food,0.11,0.359,0.055,0.5,1.392757660167131,1.0,0.015510000000000003,1.282,0.3168539325842697,0.13285024154589373,0.2199687987519501,0.3266016713091922
"food, like, place",good,0.05,0.358,0.03,0.6,1.675977653631285,1.0,0.0121,1.605,0.424561403508772,0.07936507936507936,0.37694704049844235,0.3418994413407821
"good, like, place",food,0.059,0.359,0.03,0.5084745762711864,1.4163637222038619,1.0,0.008819,1.304103448275862,0.31239815798795606,0.07731958762886597,0.23318966656971363,0.2960200179406071
"food, good, like",place,0.055,0.369,0.03,0.5454545454545454,1.4781966001478195,1.0,0.009704999999999998,1.3881999999999999,0.3423280423280423,0.07614213197969542,0.2796427027805791,0.31337767923133775
"like, time",place,0.079,0.369,0.049,0.620253164556962,1.6809028849782168,1.0,0.019849000000000002,1.6616333333333333,0.439828048483237,0.12280701754385964,0.39818251118377496,0.37652224623512054
"like, time",good,0.079,0.358,0.044,0.5569620253164557,1.5557598472526695,1.0,0.015718,1.4490857142857143,0.3878689171848781,0.1119592875318066,0.30990969675460384,0.33993352662470827
"food, like, time",good,0.032,0.358,0.021,0.65625,1.833100558659218,1.0,0.009544000000000002,1.8676363636363638,0.4695001967729241,0.05691056910569106,0.46456386292834895,0.35745460893854747
"food, like, time",place,0.032,0.369,0.021,0.65625,1.7784552845528456,1.0,0.009192,1.8356363636363637,0.4521841794569067,0.05526315789473685,0.455229793977813,0.3565802845528455
"good, like, place",time,0.059,0.273,0.03,0.5084745762711864,1.8625442354255912,1.0,0.013892999999999999,1.4790689655172413,0.4921360255047821,0.09933774834437084,0.32389900449956865,0.3091823430806481
"like, place, time",good,0.049,0.358,0.03,0.6122448979591836,1.7101812792155966,1.0,0.012458,1.6556842105263154,0.4366631615842973,0.07957559681697612,0.3960200902791022,0.3480218903203739
"good, like, time",place,0.044,0.369,0.03,0.6818181818181819,1.8477457501847747,1.0,0.013763999999999998,1.9831428571428575,0.4799163179916318,0.07832898172323759,0.4957498919464055,0.381559497413156
"get, good, like",time,0.042,0.273,0.024,0.5714285714285714,2.0931449502878072,1.0,0.012533999999999998,1.6963333333333332,0.5451461377870563,0.08247422680412372,0.4104932206720377,0.32967032967032966
"good, like, time",get,0.044,0.219,0.024,0.5454545454545455,2.4906600249066004,1.0,0.014364000000000002,1.7182000000000004,0.6260460251046026,0.100418410041841,0.41799557676638355,0.32752179327521797
"get, good, time",like,0.047,0.209,0.024,0.5106382978723404,2.443245444365265,1.0,0.014177,1.616391304347826,0.6198408534452606,0.10344827586206896,0.3813379239852597,0.31273541687875395
"get, like, time",good,0.039,0.358,0.024,0.6153846153846154,1.7189514396218308,1.0,0.010038000000000002,1.6692000000000002,0.4352237252861603,0.06434316353887401,0.40091061586388693,0.34121186076493343
"get, like, place",time,0.046,0.273,0.024,0.5217391304347826,1.9111323459149545,1.0,0.011441999999999999,1.520090909090909,0.4997379454926624,0.08135593220338984,0.34214460857604206,0.30482560917343526
"get, place, time",like,0.047,0.209,0.024,0.5106382978723404,2.443245444365265,1.0,0.014177,1.616391304347826,0.6198408534452606,0.10344827586206896,0.3813379239852597,0.31273541687875395
"get, like, time",place,0.039,0.369,0.024,0.6153846153846154,1.6677089847821556,1.0,0.009609000000000001,1.6406,0.41662330905306977,0.06250000000000001,0.3904669023527978,0.34021263289555975
"back, like",good,0.063,0.358,0.036,0.5714285714285714,1.596169193934557,1.0,0.013446,1.498,0.3986125933831377,0.0935064935064935,0.3324432576769025,0.33599361532322425
"back, like",place,0.063,0.369,0.032,0.5079365079365079,1.3765217017249538,1.0,0.008753,1.2823548387096773,0.29192235859124865,0.08,0.2201846401529444,0.29732868757259
"great, like",place,0.076,0.369,0.042,0.5526315789473685,1.4976465554129228,1.0,0.013956000000000003,1.4104705882352944,0.35961657390228824,0.10421836228287841,0.2910167653682543,0.3332263585793753
"great, like",food,0.076,0.359,0.041,0.5394736842105263,1.5027122122855887,1.0,0.013716000000000002,1.3918857142857144,0.36205258156477677,0.10406091370558376,0.28155020937679615,0.32683990617211556
"great, like",good,0.076,0.358,0.039,0.5131578947368421,1.4334019406057044,1.0,0.011792,1.3187027027027027,0.32722832722832723,0.09873417721518987,0.24167896376455164,0.3110482211114378
"great, like",get,0.076,0.219,0.039,0.5131578947368421,2.3431867339581833,1.0,0.022356,1.6042162162162164,0.6203796203796205,0.15234375,0.37664263090504757,0.345620043258832
"great, like, place",food,0.042,0.359,0.026,0.619047619047619,1.7243666268735904,1.0,0.010921999999999998,1.6826249999999996,0.4384936566564958,0.06933333333333334,0.405690513334819,0.3457355086881549
"food, like, place",great,0.05,0.349,0.026,0.5199999999999999,1.489971346704871,1.0,0.008549999999999999,1.3562499999999997,0.34615384615384615,0.06970509383378017,0.2626728110599077,0.2972492836676217
"food, great, like",place,0.041,0.369,0.026,0.6341463414634145,1.7185537709035625,1.0,0.010870999999999999,1.7247333333333328,0.4359910162829871,0.06770833333333334,0.42020022418924646,0.35230352303523027
"food, great, like",good,0.041,0.358,0.022,0.5365853658536585,1.4988418040604985,1.0,0.007321999999999999,1.3853684210526314,0.34704711347047107,0.0583554376657825,0.2781703517969758,0.29901893991006945
"good, great, like",food,0.039,0.359,0.022,0.5641025641025641,1.5713163345475323,1.0,0.007999,1.4705294117647059,0.37834641944943714,0.05851063829787235,0.31997279891195646,0.3126919505749589
"great, like, place",good,0.042,0.358,0.021,0.5,1.3966480446927374,1.0,0.0059640000000000006,1.284,0.2964509394572025,0.05540897097625331,0.22118380062305298,0.27932960893854747
"good, great, like",place,0.039,0.369,0.021,0.5384615384615385,1.4592453616843863,1.0,0.006609000000000002,1.3671666666666669,0.32748624944254506,0.05426356589147288,0.2685602828233575,0.2976860537836148
"food, great, like",get,0.041,0.219,0.027,0.6585365853658536,3.007016371533578,1.0,0.018021,2.287214285714285,0.6959796083883675,0.11587982832618025,0.5627869210830392,0.39091212829936517
"food, get, great",like,0.038,0.209,0.027,0.7105263157894737,3.3996474439687736,1.0,0.019058,2.7325454545454546,0.7337337337337337,0.12272727272727273,0.6340408543482601,0.41985645933014354
"food, get, like",great,0.039,0.349,0.027,0.6923076923076923,1.9836896627727574,1.0,0.013389,2.11575,0.5160134119551394,0.07479224376731303,0.5273543660640435,0.3848357945779149
"get, great, like",food,0.039,0.359,0.027,0.6923076923076923,1.928433683308335,1.0,0.012999,2.08325,0.5009827725748642,0.07277628032345014,0.5199807992319693,0.38375830297835867
"great, like, place",get,0.042,0.219,0.023,0.5476190476190476,2.500543596434007,1.0,0.013801999999999998,1.7264210526315789,0.6263955704819824,0.09663865546218486,0.42076702640082914,0.3263209393346379
"get, like, place",great,0.046,0.349,0.023,0.5,1.4326647564469914,1.0,0.006946000000000001,1.302,0.3165618448637317,0.06182795698924732,0.2319508448540707,0.2829512893982808
"get, great, like",place,0.039,0.369,0.023,0.5897435897435898,1.5982211104162325,1.0,0.008609,1.5380625,0.3894946387368231,0.059740259740259746,0.34983136250965097,0.3260371065249114
"great, like, place",time,0.042,0.273,0.021,0.5,1.8315018315018314,1.0,0.009533999999999999,1.454,0.4739039665970772,0.07142857142857144,0.312242090784044,0.28846153846153844
"great, like, time",place,0.035,0.369,0.021,0.6,1.6260162601626016,1.0,0.008085,1.5775,0.39896373056994816,0.05483028720626632,0.36608557844690964,0.3284552845528455
"get, like",place,0.08,0.369,0.046,0.575,1.5582655826558265,1.0,0.016479999999999998,1.484705882352941,0.38941398865784493,0.1141439205955335,0.32646592709984146,0.34983062330623305
"get, like",good,0.08,0.358,0.042,0.525,1.4664804469273744,1.0,0.013360000000000004,1.3515789473684212,0.34575569358178065,0.10606060606060606,0.26012461059190034,0.321159217877095
"food, get, place",like,0.046,0.209,0.024,0.5217391304347826,2.49635947576451,1.0,0.014386000000000001,1.653909090909091,0.6283193570929421,0.10389610389610389,0.3953718463145166,0.31828583315997505
"get, like, place",food,0.046,0.359,0.024,0.5217391304347826,1.4533123410439628,1.0,0.007486000000000003,1.3402727272727273,0.326956673654787,0.06299212598425198,0.25388319880621313,0.29429574906140243
"food, get, like",place,0.039,0.369,0.024,0.6153846153846154,1.6677089847821556,1.0,0.009609000000000001,1.6406,0.41662330905306977,0.06250000000000001,0.3904669023527978,0.34021263289555975
