source,target,weight
2,food,2738
2,good,2764
2,like,2399
2,time,2715
another,food,2759
another,good,2761
another,like,2466
another,order,1599
another,time,2973
bad,food,2983
bad,good,2935
bad,like,2359
bad,time,2408
come,experience,1801
come,food,5481
come,going,1520
come,good,5095
come,like,4136
come,never,2041
come,order,2440
come,restaurant,2306
come,take,1800
come,time,4922
come,want,1770
come,way,1751
done,good,1512
done,time,1693
eat,food,4381
eat,good,3730
eat,like,2716
eat,order,1727
eat,restaurant,1932
eat,time,2818
experience,food,4421
experience,good,4010
experience,like,3187
experience,never,1789
experience,order,1749
experience,restaurant,2236
experience,time,4188
experience,way,1544
food,going,3498
food,good,16638
food,hour,2817
food,like,9756
food,location,2487
food,long,2967
food,many,2857
food,never,4393
food,order,6293
food,restaurant,8147
food,take,3584
food,time,10998
food,tried,2655
food,usually,1537
food,want,3459
food,way,3799
going,good,3578
going,like,3146
going,never,1726
going,order,1515
going,restaurant,1518
going,time,3680
good,hour,2618
good,like,10171
good,location,2460
good,long,2702
good,many,2873
good,never,3826
good,order,5199
good,restaurant,6219
good,take,3469
good,time,10760
good,tried,2877
good,usually,1674
good,want,3602
good,way,3886
hour,like,2103
hour,time,2965
like,location,1884
like,long,2174
like,many,2423
like,never,3641
like,order,3970
like,restaurant,4305
like,take,3009
like,time,8221
like,tried,2063
like,want,3168
like,way,3422
location,time,2258
long,time,3318
many,restaurant,1578
many,time,2963
never,order,2105
never,restaurant,1997
never,take,1574
never,time,4401
never,way,1551
order,restaurant,2705
order,take,2177
order,time,4876
order,want,1638
order,way,1740
restaurant,take,1628
restaurant,time,4638
restaurant,want,1559
restaurant,way,1752
take,time,3815
time,tried,2478
time,want,3199
time,way,3519
always,even,2015
always,every,1596
always,ive,2596
always,like,3462
always,make,2194
always,nice,2035
always,year,1501
amazing,even,1607
amazing,ive,1580
amazing,like,2388
amazing,make,1547
amazing,nice,1501
check,like,1583
clean,like,1582
clean,nice,1679
even,every,1616
even,ive,2346
even,like,4771
even,lot,1758
even,make,2830
even,many,1506
even,nice,2525
even,review,1559
even,way,2140
every,ive,1628
every,like,2451
every,make,1549
ive,like,4123
ive,lot,1601
ive,make,2230
ive,nice,2141
ive,way,1595
ive,year,1690
like,lot,3312
like,make,4579
like,need,2308
like,nice,4531
like,nothing,1856
like,review,2447
like,top,1609
like,work,2074
like,year,2162
lot,make,1632
lot,nice,1988
make,nice,2300
make,way,2081
nice,way,1801
also,chicken,2418
also,day,2640
also,fresh,2055
also,friendly,2977
also,good,7718
also,long,1543
also,lot,2466
also,meal,2019
also,menu,2857
also,next,1932
also,place,7816
also,staff,2686
also,two,2351
breakfast,good,2078
breakfast,place,2257
chicken,fried,1775
chicken,good,4363
chicken,meal,1552
chicken,menu,1734
chicken,place,3923
choice,good,1635
choice,place,1576
day,friendly,1678
day,good,4045
day,next,1780
day,place,4463
day,staff,1831
day,two,1711
family,good,1665
family,place,1966
fresh,friendly,1639
fresh,good,3678
fresh,menu,1538
fresh,place,3958
fried,good,2400
fried,place,2078
friendly,good,5416
friendly,menu,1850
friendly,place,6073
friendly,staff,6140
good,large,1972
good,lot,3963
good,meal,3781
good,menu,5132
good,next,3153
good,place,15233
good,served,1746
good,staff,4937
good,two,3785
large,place,1940
long,place,2856
lot,place,4166
meal,menu,1878
meal,place,3507
menu,place,5185
menu,staff,1669
menu,two,1547
next,place,3190
place,served,1626
place,staff,5862
place,two,3890
delicious,dont,1797
delicious,favorite,1558
delicious,try,2318
dont,new,1722
dont,something,1800
dont,try,2382
new,try,1855
something,try,1599
area,good,3558
area,great,3346
area,like,2583
area,one,2779
area,really,2059
area,time,2957
area,well,1793
area,would,2386
beer,good,3098
beer,great,3069
beer,like,1915
beer,one,1783
beer,really,1606
beer,time,1873
cheese,good,3584
cheese,great,2791
cheese,like,2560
cheese,menu,1565
cheese,one,2295
cheese,really,1985
cheese,time,2328
cheese,try,1531
cheese,well,1606
cheese,would,1943
come,day,1914
come,great,4205
come,lot,1533
come,menu,2005
come,much,1885
come,one,3990
come,really,3111
come,try,2300
come,u,2345
come,well,2444
come,would,3879
day,great,3695
day,like,3448
day,much,1805
day,one,3845
day,really,2692
day,time,4090
day,try,1732
day,u,2072
day,well,2173
day,would,3253
eating,good,1554
fun,good,1501
fun,great,1827
gave,time,1629
good,great,12123
good,maybe,1966
good,much,4678
good,one,9173
good,option,2234
good,really,9279
good,salad,3319
good,sandwich,2724
good,see,2849
good,something,3039
good,try,5429
good,u,4989
good,wasnt,3205
good,well,6092
