antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'good', 'place'})",frozenset({'food'}),0.1499,0.3643,0.0775,0.5170113408939293,1.4191911635847634,1.0,0.022891429999999997,1.3161799723756906,0.34745711130758805,0.17746736890313716,0.2402254851249478,0.3648740481576427
"frozenset({'good', 'time'})",frozenset({'place'}),0.1087,0.3787,0.0549,0.5050597976080956,1.333667276493519,1.0,0.01373531,1.255303159851301,0.28069987208876257,0.1269364161849711,0.2033796839016508,0.3250147152814706
"frozenset({'good', 'food', 'time'})",frozenset({'place'}),0.0538,0.3787,0.0293,0.5446096654275093,1.43810315666097,1.0,0.00892594,1.3643240816326532,0.32196109748857116,0.0726686507936508,0.26703631969661895,0.31098980762793477
"frozenset({'good', 'place', 'time'})",frozenset({'food'}),0.0549,0.3643,0.0293,0.5336976320582878,1.4649948725179462,1.0,0.009299930000000001,1.3632785156249998,0.33584144986373043,0.075147473711208,0.2664741734439009,0.30706292527976153
"frozenset({'food', 'place', 'time'})",frozenset({'good'}),0.0544,0.3481,0.0293,0.5386029411764706,1.547264984706896,1.0,0.010363359999999999,1.412882868525896,0.3740464186922148,0.07851018220793139,0.2922272452469252,0.31138707817226285
"frozenset({'good', 'great', 'time'})",frozenset({'food'}),0.0407,0.3643,0.0224,0.5503685503685504,1.5107563831143298,1.0,0.00757299,1.4138245901639344,0.352423549165314,0.05854678515420804,0.2926986792017467,0.3059281675806518
"frozenset({'good', 'great', 'time'})",frozenset({'place'}),0.0407,0.3787,0.022,0.5405405405405405,1.4273581741234236,1.0,0.00658691,1.352241176470588,0.31210778692796826,0.055359838953195774,0.260486947594625,0.2993170091136819
"frozenset({'food', 'great', 'time'})",frozenset({'place'}),0.0452,0.3787,0.0228,0.504424778761062,1.3319904377107525,1.0,0.005682760000000002,1.2536946428571427,0.26104300340293557,0.056843679880329095,0.2023576030276227,0.282315373272794
"frozenset({'service', 'time'})",frozenset({'food'}),0.0878,0.3643,0.0445,0.5068337129840547,1.3912536727533753,1.0,0.012514459999999998,1.2890175519630482,0.30829184414023136,0.10917566241413149,0.2242153735788181,0.31449289272590053
"frozenset({'food', 'time', 'service'})",frozenset({'place'}),0.0445,0.3787,0.0226,0.5078651685393258,1.3410751743842775,1.0,0.005747849999999999,1.262458904109589,0.2661744071352162,0.056415376934598103,0.20789500811093814,0.2837715068997131
"frozenset({'place', 'service', 'time'})",frozenset({'food'}),0.0395,0.3643,0.0226,0.5721518987341772,1.5705514650951884,1.0,0.008210149999999998,1.485807692307692,0.3782206907353747,0.059286463798530954,0.3269653904895032,0.31709434080271853
"frozenset({'good', 'service', 'time'})",frozenset({'food'}),0.0385,0.3643,0.0216,0.5610389610389611,1.5400465578889957,1.0,0.007574450000000002,1.4481923076923078,0.36471032915390694,0.056663168940188885,0.3094839720606593,0.3101653767588437
"frozenset({'good', 'time', 'service'})",frozenset({'place'}),0.0385,0.3787,0.0212,0.5506493506493506,1.4540516256914462,1.0,0.006620050000000001,1.3826618497109824,0.3247701606177455,0.05353535353535354,0.2767573646376157,0.3033151691192356
"frozenset({'place', 'service', 'time'})",frozenset({'good'}),0.0395,0.3481,0.0212,0.5367088607594936,1.5418237884501396,1.0,0.00745005,1.407106557377049,0.36586928977635463,0.05786026200873363,0.289321768307246,0.29880545020163707
"frozenset({'good', 'like'})",frozenset({'place'}),0.1001,0.3787,0.0561,0.5604395604395604,1.4799037772367585,1.0,0.01819213,1.4134575,0.3603515859060593,0.13271823988644427,0.2925149854169652,0.35428896427047996
"frozenset({'place', 'like'})",frozenset({'good'}),0.112,0.3481,0.0561,0.5008928571428571,1.438933803915131,1.0,0.01711279999999999,1.306132379248658,0.3435146376322845,0.13886138613861385,0.23438082089715775,0.3310267215906759
"frozenset({'good', 'like'})",frozenset({'food'}),0.1001,0.3643,0.0501,0.5004995004995005,1.3738663203390078,1.0,0.013633569999999998,1.2726714,0.30239709490897076,0.12092686459087616,0.2142512199142686,0.3190117595827176
"frozenset({'food', 'like'})",frozenset({'good'}),0.0927,0.3481,0.0501,0.5404530744336569,1.552579932300077,1.0,0.017831129999999994,1.418571126760563,0.3922746373229512,0.12823137957512157,0.29506530822772953,0.342188617078937
"frozenset({'food', 'like'})",frozenset({'place'}),0.0927,0.3787,0.0518,0.5587918015102481,1.4755526842097917,1.0,0.016694509999999996,1.4081787286063567,0.35521639792553483,0.1234509056244042,0.28986287061041066,0.3477877676682479
"frozenset({'good', 'food', 'like'})",frozenset({'place'}),0.0501,0.3787,0.0304,0.6067864271457086,1.602287898457113,1.0,0.01142713,1.5800573604060915,0.39571790105329646,0.07630522088353414,0.3671115840104759,0.343530525429205
