support,itemsets
0.3643,frozenset({'food'})
0.3481,frozenset({'good'})
0.2747,frozenset({'time'})
0.2246,frozenset({'like'})
0.135,frozenset({'restaurant'})
0.1227,frozenset({'come'})
0.119,frozenset({'order'})
0.1033,frozenset({'experience'})
0.1027,frozenset({'never'})
0.0934,frozenset({'way'})
0.0863,frozenset({'going'})
0.0853,frozenset({'take'})
0.0824,frozenset({'want'})
0.0761,frozenset({'eat'})
0.0753,frozenset({'hour'})
0.0711,frozenset({'location'})
0.0693,frozenset({'many'})
0.0674,frozenset({'2'})
0.0668,frozenset({'another'})
0.0662,frozenset({'tried'})
0.0647,frozenset({'bad'})
0.0628,frozenset({'long'})
0.0402,frozenset({'done'})
0.0352,frozenset({'usually'})
0.0308,frozenset({'waiting'})
0.0298,frozenset({'end'})
0.028,frozenset({'weekend'})
0.1479,frozenset({'nice'})
0.1338,frozenset({'even'})
0.1278,frozenset({'make'})
0.127,frozenset({'ive'})
0.1148,frozenset({'always'})
0.1062,frozenset({'amazing'})
0.0846,frozenset({'lot'})
0.0714,frozenset({'year'})
0.0705,frozenset({'review'})
0.0702,frozenset({'every'})
0.0656,frozenset({'work'})
0.0651,frozenset({'need'})
0.0625,frozenset({'clean'})
0.0516,frozenset({'nothing'})
0.0495,frozenset({'check'})
0.0454,frozenset({'top'})
0.0395,frozenset({'line'})
0.0386,frozenset({'without'})
0.0384,frozenset({'owner'})
0.0358,frozenset({'open'})
0.0267,frozenset({'there'})
0.024,frozenset({'anyone'})
0.0236,frozenset({'easy'})
0.0226,frozenset({'space'})
0.3787,frozenset({'place'})
0.1697,frozenset({'also'})
0.1441,frozenset({'friendly'})
0.1426,frozenset({'staff'})
0.1091,frozenset({'menu'})
0.1011,frozenset({'day'})
0.0964,frozenset({'chicken'})
0.0888,frozenset({'two'})
0.0876,frozenset({'fresh'})
0.0774,frozenset({'meal'})
0.077,frozenset({'next'})
0.0522,frozenset({'breakfast'})
0.0473,frozenset({'fried'})
0.044,frozenset({'family'})
0.04,frozenset({'large'})
0.0359,frozenset({'served'})
0.0343,frozenset({'hotel'})
0.0313,frozenset({'choice'})
0.0295,frozenset({'attentive'})
0.1401,frozenset({'dont'})
