support,itemsets
0.349,great
0.163,staff
0.162,friendly
0.097,recommend
0.071,minute
0.067,lunch
0.058,super
0.046,highly
0.043,family
0.04,owner
0.038,10
0.027,pick
0.025,run
0.369,place
0.359,food
0.209,like
0.119,u
0.093,day
0.084,eat
0.081,night
0.068,star
0.066,atmosphere
0.042,4
0.035,bring
0.032,music
0.03,style
0.026,live
0.025,seat
0.273,time
0.212,back
0.155,also
0.141,love
0.133,got
0.128,make
0.118,definitely
0.114,im
0.099,ordered
0.094,know
0.082,bar
0.075,friend
0.061,feel
0.06,room
0.058,next
0.051,however
0.051,enough
0.048,big
0.047,hot
0.046,spot
0.043,check
0.039,ill
0.038,ok
0.032,close
0.03,fan
0.028,warm
0.023,bacon
0.358,good
0.2,go
0.125,try
0.067,special
0.061,awesome
0.027,cheap
0.106,never
0.093,amazing
0.087,menu
0.083,see
0.058,dinner
0.032,absolutely
0.032,course
0.182,really
0.145,well
0.097,made
0.096,pretty
0.064,hour
0.063,wasnt
0.061,bad
0.058,happy
0.052,5
0.051,2
0.038,high
0.036,front
0.031,reason
0.03,1
0.029,walked
0.029,rice
0.025,extremely
0.025,real
0.024,red
0.022,bean
0.219,get
0.128,little
0.108,experience
0.076,find
0.062,review
0.059,took
0.044,hard
0.037,coming
0.037,door
0.036,keep
0.032,water
0.026,spicy
0.025,isnt
0.021,watch
0.105,much
0.044,sweet
0.043,free
0.042,helpful
0.032,hotel
0.025,stay
0.101,drink
0.036,actually
0.1,people
0.068,sauce
0.068,many
0.063,worth
0.046,getting
0.027,yes
0.025,expensive
0.025,waited
0.021,ordering
0.124,come
0.089,table
0.085,fresh
0.084,right
0.076,take
0.076,everything
0.056,small
0.056,found
0.055,pizza
0.052,home
0.048,perfect
0.042,enjoyed
0.04,husband
0.038,town
0.037,old
0.035,fantastic
0.035,outside
0.032,finally
0.031,usually
0.028,steak
0.025,12
0.024,amount
0.28,service
0.111,order
0.07,long
0.045,youre
0.041,wine
0.033,care
0.021,professional
0.125,delicious
0.113,always
0.105,thing
0.086,still
0.086,say
0.076,cant
0.065,meal
0.06,visit
0.055,option
0.048,loved
0.043,quick
0.031,french
0.025,tea
0.025,nashville
0.024,soon
0.148,nice
0.081,chicken
0.054,favorite
0.039,thats
0.024,mexican
0.023,making
0.142,best
0.075,need
0.075,ever
0.071,year
0.034,wonderful
0.021,seen
0.079,work
0.048,last
0.047,week
0.207,would
0.133,even
0.063,give
0.02,saying
0.113,ive
0.085,wait
0.077,sure
0.07,customer
0.043,business
0.039,busy
0.022,short
0.059,excellent
0.025,cooked
0.021,perfectly
0.118,could
0.073,side
0.062,cheese
0.042,ask
0.041,large
0.037,plate
0.037,disappointed
0.035,less
0.028,yet
0.026,may
0.022,wall
0.022,girl
0.02,group
0.077,around
0.039,fast
0.035,waiting
0.023,although
0.111,didnt
0.069,beer
0.066,said
0.06,looking
0.035,local
0.031,least
0.031,use
0.03,point
0.025,anyone
0.02,serve
0.02,twice
0.136,restaurant
0.081,two
0.058,salad
0.046,burger
0.035,thought
0.021,lady
0.02,others
0.085,lot
0.075,think
0.055,look
0.033,choice
0.113,went
0.035,meat
0.026,felt
0.021,brunch
0.081,going
0.079,area
0.07,another
0.063,every
0.039,top
0.038,guy
0.024,slow
0.035,city
0.024,mean
0.02,white
0.096,new
0.039,today
0.025,ate
0.224,one
0.116,first
0.09,way
0.058,though
0.057,taste
0.049,tasty
0.049,server
0.043,full
0.042,fried
0.042,fry
0.041,seating
0.04,probably
0.038,used
0.037,half
0.034,served
0.033,fish
0.033,shrimp
0.033,start
0.028,house
0.027,level
0.024,fine
0.021,wife
0.021,offered
0.024,taco
0.038,able
0.094,better
0.066,clean
0.051,location
0.049,overall
0.044,maybe
0.041,3
0.04,open
0.034,whole
0.032,problem
0.031,help
0.031,sat
0.024,type
0.02,rude
0.044,street
0.04,call
0.04,line
0.034,hand
0.033,tell
0.031,leave
0.027,ready
0.055,selection
0.052,told
0.048,sandwich
0.041,decided
0.038,left
0.035,appetizer
0.031,without
0.029,potato
0.027,dining
0.026,deal
0.022,waiter
0.02,45
0.02,onion
0.054,coffee
0.045,shop
0.048,nothing
0.022,knew
0.02,late
0.072,want
0.067,something
0.056,kind
0.046,quite
0.038,egg
0.032,stuff
0.029,arrived
0.024,seated
0.02,already
0.108,price
0.107,came
0.071,flavor
0.062,dish
0.058,tried
0.043,enjoy
0.041,item
0.031,several
0.029,glad
0.026,unique
0.024,crab
0.024,comfortable
0.02,8
0.02,truly
0.02,available
0.044,bread
0.034,put
0.036,waitress
0.029,ended
0.023,reservation
0.022,weekend
0.022,received
0.021,party
0.02,behind
0.037,huge
0.022,treat
0.021,job
0.037,cool
0.121,dont
0.039,must
0.039,let
0.027,there
0.022,list
0.026,15
0.08,since
0.047,gave
0.044,wanted
0.036,part
0.045,away
0.044,store
0.021,buy
0.02,anywhere
0.081,bit
0.021,talk
0.042,eating
0.032,tasted
0.028,couldnt
0.027,later
0.027,dessert
0.026,cut
0.025,theyre
0.025,name
0.023,honestly
0.021,kept
0.02,working
0.02,plus
0.06,different
0.035,id
0.033,almost
0.03,wish
0.03,doesnt
0.023,decent
0.048,breakfast
0.032,parking
0.025,issue
0.022,entree
0.021,yummy
0.032,looked
0.03,pay
0.024,manager
0.023,topping
0.043,quality
0.036,seemed
0.03,trip
0.027,trying
0.024,entire
0.022,ingredient
0.021,stayed
0.035,kid
0.034,sit
0.029,three
0.027,regular
0.027,someone
0.051,asked
0.03,dry
0.03,brought
0.029,end
0.034,money
0.033,anything
0.022,rest
0.023,prepared
0.031,either
0.024,beef
0.02,chinese
0.043,portion
0.032,stop
0.038,everyone
0.033,called
0.021,wouldnt
0.03,pork
0.029,soup
0.028,liked
0.026,roll
0.022,ago
0.027,orleans
0.026,saturday
0.025,reasonable
0.024,walk
0.033,offer
0.028,beautiful
0.027,especially
0.033,fun
0.031,size
0.02,min
0.022,early
0.027,20
0.024,counter
0.032,person
0.022,saw
0.028,morning
0.027,needed
0.033,done
0.02,cold
0.03,cream
0.024,return
0.024,ice
0.023,thank
0.025,expect
0.022,car
0.024,wont
0.021,6
0.032,variety
0.028,attentive
0.05,inside
0.028,oh
0.021,tomato
0.044,else
0.025,bite
0.024,past
0.026,started
0.025,far
0.025,decor
0.02,etc
0.032,couple
0.027,second
0.021,extra
0.022,guess
0.02,sushi
0.149,"great, place"
0.138,"food, great"
0.123,"good, great"
0.071,"food, great, place"
0.062,"food, good, great"
0.059,"good, great, place"
0.033,"food, good, great, place"
0.057,"great, staff"
0.062,"place, staff"
0.053,"good, staff"
0.03,"go, staff"
0.061,"food, staff"
0.034,"service, staff"
0.03,"back, staff"
0.044,"staff, time"
0.035,"one, staff"
0.034,"staff, would"
0.041,"get, staff"
0.03,"really, staff"
0.028,"like, staff"
0.026,"food, great, staff"
0.024,"great, place, staff"
0.022,"good, place, staff"
0.026,"food, good, staff"
0.024,"food, place, staff"
0.02,"get, staff, time"
0.08,"friendly, staff"
0.057,"friendly, great"
0.065,"food, friendly"
0.039,"friendly, like"
0.038,"friendly, time"
0.034,"back, friendly"
0.059,"friendly, place"
0.036,"friendly, really"
0.05,"friendly, service"
0.043,"friendly, get"
0.061,"friendly, good"
0.039,"friendly, one"
0.038,"friendly, would"
0.031,"friendly, go"
0.027,"friendly, great, staff"
0.02,"food, friendly, great"
0.02,"friendly, good, great"
0.028,"food, friendly, staff"
0.021,"friendly, good, like"
0.021,"friendly, get, time"
0.031,"friendly, place, staff"
0.021,"food, friendly, place"
0.02,"friendly, good, place"
0.02,"food, friendly, really"
0.029,"food, friendly, service"
0.022,"friendly, get, staff"
0.032,"food, friendly, good"
0.03,"friendly, good, staff"
0.02,"friendly, good, one"
0.021,"food, friendly, would"
0.046,"great, recommend"
0.023,"friendly, recommend"
0.039,"place, recommend"
0.028,"food, recommend"
0.023,"recommend, service"
0.02,"really, recommend"
0.048,"recommend, would"
0.026,"also, recommend"
0.026,"one, recommend"
0.021,"back, recommend"
0.02,"come, recommend"
0.024,"get, recommend"
0.027,"recommend, time"
0.023,"like, recommend"
0.024,"definitely, recommend"
0.033,"good, recommend"
0.021,"great, recommend, would"
0.023,"place, recommend, would"
0.022,"great, minute"
0.031,"get, minute"
0.031,"food, minute"
0.03,"minute, place"
0.026,"minute, u"
0.031,"minute, time"
0.03,"minute, would"
0.03,"minute, service"
0.029,"minute, one"
0.028,"good, minute"
0.02,"minute, wait"
0.021,"back, minute"
0.021,"minute, order"
0.025,"great, lunch"
0.033,"food, lunch"
0.03,"lunch, place"
0.02,"back, lunch"
0.032,"good, lunch"
0.022,"get, lunch"
0.028,"lunch, time"
0.026,"friendly, super"
0.022,"great, super"
0.027,"place, super"
0.022,"food, super"
0.02,"back, super"
0.036,"highly, recommend"
0.021,"great, highly"
0.02,"family, great"
0.021,"family, place"
0.022,"owner, place"
0.02,"10, get"
0.159,"food, place"
0.109,"like, place"
0.088,"food, like"
0.079,"like, time"
0.063,"back, like"
0.11,"good, like"
0.076,"great, like"
0.08,"get, like"
0.064,"like, service"
0.067,"like, one"
0.059,"good, like, place"
0.05,"food, like, place"
0.055,"food, good, like"
0.03,"food, good, like, place"
0.032,"food, like, time"
0.049,"like, place, time"
0.044,"good, like, time"
0.039,"get, like, time"
0.021,"food, good, like, time"
0.021,"food, like, place, time"
0.03,"good, like, place, time"
0.024,"get, good, like, time"
0.024,"get, like, place, time"
0.027,"back, like, time"
0.022,"back, food, like"
0.036,"back, good, like"
0.032,"back, like, place"
0.028,"back, great, like"
0.028,"back, get, like"
0.027,"back, like, one"
0.025,"back, like, service"
0.042,"great, like, place"
0.041,"food, great, like"
0.039,"good, great, like"
0.039,"get, great, like"
0.035,"great, like, time"
0.026,"food, great, like, place"
0.022,"food, good, great, like"
0.021,"good, great, like, place"
0.027,"food, get, great, like"
0.023,"get, great, like, place"
0.021,"great, like, place, time"
0.039,"food, get, like"
0.046,"get, like, place"
0.042,"get, good, like"
0.024,"food, get, like, place"
0.022,"food, get, good, like"
0.029,"get, good, like, place"
0.041,"food, like, service"
0.028,"get, like, service"
0.032,"like, place, service"
0.034,"good, like, service"
0.027,"great, like, service"
0.022,"like, one, service"
0.023,"like, service, time"
0.021,"food, like, place, service"
0.025,"food, good, like, service"
0.022,"food, great, like, service"
0.04,"get, like, one"
0.04,"good, like, one"
0.039,"like, one, place"
0.028,"great, like, one"
0.027,"food, like, one"
0.038,"like, one, time"
0.022,"get, good, like, one"
0.025,"good, like, one, place"
0.023,"get, like, one, place"
0.02,"get, great, like, one"
0.024,"like, one, place, time"
0.023,"get, like, one, time"
0.024,"good, like, one, time"
0.059,"food, u"
0.059,"place, u"
0.042,"like, u"
0.046,"get, u"
0.041,"great, u"
0.029,"little, u"
0.025,"also, u"
0.056,"time, u"
0.023,"best, u"
0.036,"come, u"
