word1,word2,jaccard
clamsmussels,itemsspecifically,1.0
9lbs,itemsspecifically,1.0
9lbs,clamsmussels,1.0
playgrounf,skeetball,1.0
reuses,sleezball,1.0
cannoe,playgrounf,1.0
cannoe,skeetball,1.0
housewait,menuthere,1.0
housewait,lunchend,1.0
especie,tuvieran,1.0
especies,estoy,1.0
especie,vimos,1.0
especie,viajes,1.0
especie,tena,1.0
desserts43,gettingcafetria,1.0
elsenot,picklewe,1.0
powerlol,sx,1.0
eyeopening,pitcaithley,1.0
excellentgazpacho,garlicspinach,1.0
especie,tampoco,1.0
especie,swamplover,1.0
especie,sorprender,1.0
especie,simpticos,1.0
especie,varias,1.0
especie,valga,1.0
especie,unachilenaennola,1.0
especie,unachilenaarroundtheworld,1.0
especie,saban,1.0
especie,rpidamente,1.0
especie,resistir,1.0
especie,reservar,1.0
especie,regalito,1.0
garlicspinach,spinichas,1.0
garlicspinach,montaditos,1.0
garlicspinach,louisand,1.0
boquerones,garlicspinach,1.0
boquerones,excellentgazpacho,1.0
boquerones,montaditos,1.0
boquerones,louisand,1.0
presumablynot,surroundingsgreenery,1.0
desserts43,lunch2,1.0
91790,schnitzle,1.0
315p,systemreally,1.0
boquerones,spinichas,1.0
favoriteyahtzee,mariam,1.0
leeann,wheeeeeee,1.0
leeann,prophy,1.0
junkfood,staywoke,1.0
ppac,roomswings,1.0
especie,refrigerios,1.0
especie,recuerdo,1.0
konferenzrume,zudem,1.0
konferenzrume,zimmermdchen,1.0
i74,yelpiversearrived,1.0
i74,treatmentsi,1.0
i74,nonfoodmuch,1.0
i74,mechanicals,1.0
quiles,totstada,1.0
lunch2,quantity3,1.0
blurriness,photocopy,1.0
hideandseek,mastodon,1.0
hideandseek,trickortreating,1.0
545p,systemreally,1.0
eschewed,faloodafaluda,1.0
highpoints,sherbert,1.0
eschewed,sabzatakmaria,1.0
91790,serverthank,1.0
camerieri,confusione,1.0
camerieri,confusionario,1.0
camerieri,carino,1.0
lunchend,menuthere,1.0
especie,vestigios,1.0
especie,vers,1.0
especies,hacen,1.0
especies,guas,1.0
especies,llev,1.0
bobaaround,rice775,1.0
louisand,montaditos,1.0
fuscos,parkingfinding,1.0
fuscos,membershipwhich,1.0
fuscos,littleodd,1.0
11714,giardinara,1.0
louisand,spinichas,1.0
especies,llegar,1.0
especies,llamaron,1.0
especies,junco,1.0
especies,invierno,1.0
especies,identificar,1.0
especies,huracanes,1.0
especies,grullas,1.0
especies,garzas,1.0
especies,fuese,1.0
especies,flotando,1.0
especies,experto,1.0
camerieri,contorno,1.0
camerieri,conto,1.0
especies,mostr,1.0
engendering,incity,1.0
795and,hardundercooked,1.0
795and,bobaaround,1.0
